"Type of Residential Property","UNIT","VALUE2018","VALUE2019"
"National - houses","Base 2015=100","134","121.4"
"National - apartments","Base 2015=100","136.6","104"
"Dublin - all residential properties","Base 2015=100","124.9","156.6"
"Dublin - houses","Base 2015=100","123.8","134.9"
"Dublin - apartments","Base 2015=100","129.3","145.8"
"Dublin City - houses","Base 2015=100","125.6","132.3"
"Dun Laoghaire-Rathdown - houses","Base 2015=100","121.7","125.6"
"Fingal - houses","Base 2015=100","121.5","121.7"
"National - all residential properties","Base 2015=100","134.4","121.5"
"South Dublin - houses","Base 2015=100","122.3","122.3"
"National excluding Dublin - all residential properties","Base 2015=100","144.8","144.8"
"National excluding Dublin - houses","Base 2015=100","143.6","143.6"
"National excluding Dublin - apartments","Base 2015=100","158.5","158.5"
"Border - houses","Base 2015=100","142.5","142.5"
"Midland - houses","Base 2015=100","154.5","154.5"
"West - houses","Base 2015=100","159.8","159.8"
"Mid-East - houses","Base 2015=100","132.7","132.7"
"Mid-West - houses","Base 2015=100","152.4","152.4"
"South-East - houses","Base 2015=100","144.4","144.4"
"South-West - houses","Base 2015=100","143.7","143.7"




